object_id,department,title,object_name,origin_country,period,artist_display_name,artist_begin_date,artist_end_date,medium,link_resource,tags,century,primary_image,artist_gender
449927,Islamic Art,"Panel with Sketches of a Man, a Lion and an Arabesque",Wall painting,Iran,Unknown,Unknown,,,Stucco; painted,http://www.metmuseum.org/art/collection/search/449927,Men|Lions,9th century,https://images.metmuseum.org/CRDImages/is/original/DP254458.jpg,Male
473058,Medieval Art,Wall Painting of Male Saint,Painting,Unknown,Unknown,Unknown,,,Fresco,http://www.metmuseum.org/art/collection/search/473058,Men|Saints,12th century,https://images.metmuseum.org/CRDImages/md/original/sf2000-526-1s1.jpg,Male
252979,Greek and Roman Art,Wall painting fragment,Wall painting,Unknown,Unknown,Unknown,,,Fresco,http://www.metmuseum.org/art/collection/search/252979,Women,1th century,https://images.metmuseum.org/CRDImages/gr/original/DP112911.jpg,Male
247005,Greek and Roman Art,Wall painting fragment from the peristyle of the Villa of P. Fannius Synistor at Boscoreale,Wall painting,Unknown,Late Republican,Unknown,,,Fresco,http://www.metmuseum.org/art/collection/search/247005,Columns|Fruit,1th century BCE,https://images.metmuseum.org/CRDImages/gr/original/DP165161.jpg,Male
61855,Asian Art,北魏（？） 佛像壁畵|Buddha,Wall painting,China,Northern Wei dynasty (386–534),Unknown,,,Framed wall painting,http://www.metmuseum.org/art/collection/search/61855,Unknown,4th century,https://images.metmuseum.org/CRDImages/as/original/18_56_84-87_O.JPG,Male
39995,Asian Art,Unknown,Wall painting,China,Khotan Kingdom,Unknown,,,Water-based pigments on wood,http://www.metmuseum.org/art/collection/search/39995,Buddhism|Buddha,6th century,https://images.metmuseum.org/CRDImages/as/original/ASA244.jpg,Male
54209,Asian Art,Unknown,Wall painting,Unknown,Unknown,Unknown,,,Water-based pigment on wood,http://www.metmuseum.org/art/collection/search/54209,Buddhism|Buddha,5th century,https://images.metmuseum.org/CRDImages/as/original/30_32_96.JPG,Male
40326,Asian Art,Unknown,Wall painting,Unknown,"Khotan kingdom, Dandan Uilik",Unknown,,,Water-based pigment on wood,http://www.metmuseum.org/art/collection/search/40326,Buddhism|Buddha,7th century,https://images.metmuseum.org/CRDImages/as/original/30_32_98.JPG,Male
49570,Asian Art,Unknown,Wall painting,Unknown,Uyghur kingdom,Unknown,,,Water-based pigment on mud plaster,http://www.metmuseum.org/art/collection/search/49570,Bodhisattvas,9th century,https://images.metmuseum.org/CRDImages/as/original/47_18_132.JPG,Male
39543,Asian Art,五代/北宋   佚名    乞巧圖    軸|Palace banquet,Hanging scroll,China,Five Dynasties (907–960) or Northern Song (960–1127) dynasty,Unidentified artist,,,Hanging scroll; ink and color on silk,http://www.metmuseum.org/art/collection/search/39543,Food|Banquets|Palaces|Women,10th century,https://images.metmuseum.org/CRDImages/as/original/DP-13657-002.jpg,Male
39895,Asian Art,北宋　李公麟　孝經圖　卷|The Classic of Filial Piety,Handscrolls,China,Northern Song dynasty (960–1127),Li Gonglin,1041.0,1106.0,Handscroll; ink and color on silk,http://www.metmuseum.org/art/collection/search/39895,Women|Men,11th century,https://images.metmuseum.org/CRDImages/as/original/DP151528.jpg,Male
39959,Asian Art,金 傳楊邦基 聘金圖 巻|A Diplomatic Mission to the Jin,Handscroll,China,Jin dynasty (1115–1234),Yang Bangji,1100.0,1191.0,Handscroll; ink and color on silk,http://www.metmuseum.org/art/collection/search/39959,Mountains|Landscapes,12th century,https://images.metmuseum.org/CRDImages/as/original/DP165265_CRD.jpg,Male
36033,Asian Art,宋/元   佚名   百牛圖   卷|One hundred water buffalo,Handscroll,China,Southern Song (1127–1279) or Yuan (1271–1368) dynasty,Unidentified artist|Jiangcan,,,Handscroll; ink on paper,http://www.metmuseum.org/art/collection/search/36033,Buffalos|Landscapes,13th century,https://images.metmuseum.org/CRDImages/as/original/DP166575_CRD.jpg,Male
447045,Islamic Art,"""Pair of Eagles"", Folio from a Manafi' al-hayawan (On the Usefulness of Animals) of Ibn Bakhtishu'",Folio from an illustrated manuscript,Iran,Unknown,Ibn Bakhtishu',958.0,1058.0,"Ink, opaque watercolor, and gold on paper",http://www.metmuseum.org/art/collection/search/447045,Eagles|Flowers,13th century,https://images.metmuseum.org/CRDImages/is/original/DP231330.jpg,Male
36041,Asian Art,元 佚名 仕女像 軸|Portrait of a Lady,Hanging scroll,China,Yuan dynasty (1271–1368),Li Gonglin|Unidentified artist,,,Hanging scroll; ink on silk,http://www.metmuseum.org/art/collection/search/36041,Portraits|Women,14th century,https://images.metmuseum.org/CRDImages/as/original/29_100_476.JPG,Male
447794,Islamic Art,"""Bizhan Slaughters the Wild Boars of Irman"", Folio from a Shahnama (Book of Kings)",Folio from an illustrated manuscript,Iraq,Unknown,Abu'l Qasim Firdausi,935.0,1020.0,"Ink, opaque watercolor, and gold on paper",http://www.metmuseum.org/art/collection/search/447794,Men|Hunting|Boars|Horses,14th century,https://images.metmuseum.org/CRDImages/is/original/DP223860.jpg,Male
458960,Robert Lehman Collection,The Lamentation over the Dead Christ,Painting,Italy,Unknown,Workshop of  Niccolò di Buonaccorso,1372.0,1388.0,"Tempera on wood, gold ground",http://www.metmuseum.org/art/collection/search/458960,Christ|Men|Women|Lamentation|Saints,14th century,https://images.metmuseum.org/CRDImages/rl/original/DT3011.jpg,Male
